outlook_id,instrument,timestamp,generated_timestamp,generated_success,trigger,bias,confidence,regime,summary,trade_state
3444,BANKNIFTY,2026-09-18,2026-09-18 09:30:19,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 23, 'neutral': 33, 'bearish': 44}}",62,N/A (in payload),"{""date"": ""2026-09-18"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-18 09:30 IST"", ""regime"": {""primary"": ""BEARISH"", ""engine"": ""BEARISH"", ""confidence"": 70.0}, ""bias"": {""label"": ""MILDLY BEARISH"", ""probs",N/A
3443,NIFTY,2026-09-18,2026-09-18 09:30:10,YES,cron_scheduled,"{'label': 'NEUTRAL', 'probs': {'bullish': 28, 'neutral': 33, 'bearish': 39}}",64,N/A (in payload),"{""date"": ""2026-09-18"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-18 09:30 IST"", ""regime"": {""primary"": ""BEARISH"", ""engine"": ""BEARISH"", ""confidence"": 75.0}, ""bias"": {""label"": ""NEUTRAL"", ""probs"": {""bullis",N/A
142,NIFTY,2026-08-24,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 23, 'neutral': 33, 'bearish': 44}}",62,N/A (in payload),"{""date"": ""2026-08-24"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH""",N/A
143,BANKNIFTY,2026-08-24,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 28, 'neutral': 33, 'bearish': 39}}",62,N/A (in payload),"{""date"": ""2026-08-24"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEAR",N/A
145,NIFTY,2026-08-25,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 30, 'neutral': 32, 'bearish': 38}}",62,N/A (in payload),"{""date"": ""2026-08-25"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH""",N/A
146,BANKNIFTY,2026-08-25,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BULLISH', 'probs': {'bullish': 54, 'neutral': 30, 'bearish': 16}}",62,N/A (in payload),"{""date"": ""2026-08-25"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BULLISH RANGE"", ""engine"": ""BULLISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BULL",N/A
148,NIFTY,2026-08-26,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 17, 'neutral': 33, 'bearish': 50}}",62,N/A (in payload),"{""date"": ""2026-08-26"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH""",N/A
149,BANKNIFTY,2026-08-26,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 28, 'neutral': 32, 'bearish': 40}}",62,N/A (in payload),"{""date"": ""2026-08-26"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEAR",N/A
151,NIFTY,2026-08-27,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 17, 'neutral': 33, 'bearish': 50}}",62,N/A (in payload),"{""date"": ""2026-08-27"", ""symbol"": ""NIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEARISH""",N/A
152,BANKNIFTY,2026-08-27,2026-09-17 21:01:55,YES,cron_scheduled,"{'label': 'MILDLY BEARISH', 'probs': {'bullish': 13, 'neutral': 32, 'bearish': 55}}",62,N/A (in payload),"{""date"": ""2026-08-27"", ""symbol"": ""BANKNIFTY"", ""as_of_ist"": ""2026-09-17 21:01 IST"", ""regime"": {""primary"": ""BEARISH RANGE"", ""engine"": ""BEARISH_RANGE"", ""confidence"": 55.0}, ""bias"": {""label"": ""MILDLY BEAR",N/A
