instrument,session_date,strategy,direction,signal_timestamp,entry_timestamp,exit_timestamp,entry_price,stop_price,target_price,exit_price,risk_points,reward_points,gross_pnl,points,lot_size,costs,slippage,net_pnl,result,gap_direction,cpr_classification,ladder,virgin_cpr,all_qualifying_strategies,selection_reason,exit_reason
INDIA_VIX,2026-07-30,PIVOT_BOUNCE,LONG,2026-07-30 09:15:00+05:30,2026-07-30 09:15:00+05:30,2026-07-30 09:20:00+05:30,11.832500076293947,1.6374996185302741,12.1125,12.1125,10.195,20.39,14.0,0.28,50,0.0,0.0,14.0,WIN,NEUTRAL,WIDE,NEUTRAL,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,TARGET
INDIA_VIX,2026-08-04,PIVOT_BOUNCE,SHORT,2026-08-04 09:15:00+05:30,2026-08-04 09:15:00+05:30,2026-08-04 09:40:00+05:30,12.050000305175782,22.237500724792483,11.8725,11.8725,10.1875,20.375,8.88,0.18,50,0.0,0.0,8.88,WIN,NEUTRAL,NARROW,NEUTRAL,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
INDIA_VIX,2026-08-05,PIVOT_BOUNCE,LONG,2026-08-05 09:15:00+05:30,2026-08-05 09:15:00+05:30,2026-08-05 09:55:00+05:30,11.501599923706056,0.9057996948242195,12.0233,12.0233,10.5958,21.1916,26.09,0.52,50,0.0,0.0,26.09,WIN,NEUTRAL,WIDE,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,TARGET
INDIA_VIX,2026-08-06,PIVOT_BOUNCE,LONG,2026-08-06 09:15:00+05:30,2026-08-06 09:15:00+05:30,2026-08-06 09:20:00+05:30,10.927500343322755,-0.06749935150146413,11.8,11.8,10.995,21.99,43.62,0.87,50,0.0,0.0,43.62,WIN,NEUTRAL,WIDE,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,TARGET
INDIA_VIX,2026-08-10,PIVOT_BOUNCE,SHORT,2026-08-10 09:15:00+05:30,2026-08-10 09:15:00+05:30,2026-08-10 15:15:00+05:30,12.691599809265135,23.243299465942382,11.9958,12.242500305175781,10.5517,21.1034,22.45,0.45,50,0.0,0.0,22.45,WIN,NEUTRAL,WIDE,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
INDIA_VIX,2026-08-13,PIVOT_BOUNCE,SHORT,2026-08-13 09:15:00+05:30,2026-08-13 09:15:00+05:30,2026-08-13 09:20:00+05:30,12.10410030517578,22.51330045776367,11.6808,11.6808,10.4092,20.8184,21.17,0.42,50,0.0,0.0,21.17,WIN,NEUTRAL,NARROW,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,AMBIGUOUS
INDIA_VIX,2026-08-17,PIVOT_BOUNCE,SHORT,2026-08-17 09:15:00+05:30,2026-08-17 09:15:00+05:30,2026-08-17 15:15:00+05:30,11.608400190734862,21.951700610351562,11.2167,11.307499885559082,10.3433,20.6866,15.05,0.3,50,0.0,0.0,15.05,WIN,NEUTRAL,WIDE,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
INDIA_VIX,2026-08-18,PIVOT_BOUNCE,LONG,2026-08-18 09:15:00+05:30,2026-08-18 09:15:00+05:30,2026-08-18 09:25:00+05:30,10.998400381469725,0.7042001144409173,11.3867,11.3867,10.2942,20.5884,19.41,0.39,50,0.0,0.0,19.41,WIN,NEUTRAL,WIDE,ASCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,TARGET
INDIA_VIX,2026-08-19,PIVOT_BOUNCE,LONG,2026-08-19 09:15:00+05:30,2026-08-19 09:15:00+05:30,2026-08-19 09:20:00+05:30,10.405000152587892,-0.5499995040893548,11.095,11.095,10.955,21.91,34.5,0.69,50,0.0,0.0,34.5,WIN,NEUTRAL,WIDE,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,TARGET
INDIA_VIX,2026-08-20,PIVOT_BOUNCE,LONG,2026-08-20 09:15:00+05:30,2026-08-20 09:15:00+05:30,2026-08-20 15:15:00+05:30,10.338399618530275,-0.6332999618530266,11.0317,10.71500015258789,10.9717,21.9434,18.83,0.38,50,0.0,0.0,18.83,WIN,NEUTRAL,WIDE,DESCENDING,False,['PIVOT_BOUNCE'],PRIORITY:PIVOT_BOUNCE among PIVOT_BOUNCE,SESSION_CLOSE
