path,public_url,title,h1,canonical_url,http_status,sitemap_present,robots_indexable,internal_link_count,inbound_link_count,api_dependencies,page_category,purpose,duplicate_of,proposed_action,reason
404.html,/404.html,Page not found — TradingAI,Page not found (404),,200,no,yes,6,0,none,Trading Terminal,Page not found — TradingAI,,KEEP,Core trading terminal page
about.html,/about.html,About TradingAI - AI-Assisted Indian Market Intelligence,TradingAI,https://tradingai.in/about.html,200,yes,yes,16,0,none,Trading Terminal,About TradingAI - AI-Assisted Indian Market Intelligence,,KEEP,Core trading terminal page
alerts.html,/alerts.html,Market Alerts — PCR & OI Signals — TradingAI,TradingAI,https://tradingai.in/alerts.html,200,yes,yes,15,0,none,Obsolete/Other,Market Alerts — PCR & OI Signals — TradingAI,,REMOVE,Unrelated to intraday index-options trading product
contact.html,/contact.html,Contact TradingAI,TradingAI,https://tradingai.in/contact.html,200,yes,yes,14,0,none,Trading Terminal,Contact TradingAI,,KEEP,Core trading terminal page
disclaimer.html,/disclaimer.html,Disclaimer - TradingAI,TradingAI,https://tradingai.in/disclaimer.html,200,yes,yes,12,0,none,Trading Terminal,Disclaimer - TradingAI,,KEEP,Core trading terminal page
etfs/holdings.html,/etfs/holdings.html,ETF Holdings Explorer — What ETFs Own — TradingAI,TradingAI,https://tradingai.in/etfs/holdings.html,200,yes,yes,8,0,none,Obsolete/Other,ETF Holdings Explorer — What ETFs Own — TradingAI,,REMOVE,Unrelated to intraday index-options trading product
etfs/top-etfs.html,/etfs/top-etfs.html,Top ETFs in India Today - NSE - TradingAI,TradingAI,https://tradingai.in/etfs/top-etfs.html,200,yes,yes,14,0,none,Obsolete/Other,Top ETFs in India Today - NSE - TradingAI,,REMOVE,Unrelated to intraday index-options trading product
evidence/historical.html,/evidence/historical.html,Historical Evidence — Similar Setups — TradingAI,TradingAI,,200,no,yes,2,0,none,Trading Terminal,Historical Evidence — Similar Setups — TradingAI,,KEEP,Historical evidence page - Phase 8 product feature
global/markets.html,/global/markets.html,Global Markets Today - TradingAI,TradingAI,https://tradingai.in/global/markets.html,200,yes,yes,8,0,none,Obsolete/Other,Global Markets Today - TradingAI,,REMOVE,Unrelated to intraday index-options trading product
history.html,/history.html,History - TradingAI,TradingAI,https://tradingai.in/history.html,200,yes,yes,15,0,none,Trading Terminal,History - TradingAI,,KEEP,Trade history page
history/replay.html,/history/replay.html,Historical AI Replay - TradingAI,TradingAI,https://tradingai.in/history/replay.html,200,no,yes,8,0,none,Trading Terminal,Historical AI Replay - TradingAI,,KEEP,Historical AI replay - Phase 5 product feature
index.html,/index.html,"AI Market Outlook - NIFTY, BANKNIFTY, FINNIFTY, SENSEX - TradingAI",TradingAI,https://tradingai.in/,200,yes,yes,22,0,none,Trading Terminal,"AI Market Outlook - NIFTY, BANKNIFTY, FINNIFTY, SENSEX - TradingAI",,KEEP,Core trading terminal page
indices/banknifty.html,/indices/banknifty.html,BANKNIFTY 50 - AI Market Outlook - TradingAI,TradingAI,https://tradingai.in/indices/banknifty.html,200,yes,yes,15,0,none,Trading Terminal,BANKNIFTY 50 - AI Market Outlook - TradingAI,,KEEP,Core trading terminal page
indices/finnifty.html,/indices/finnifty.html,FINNIFTY 50 - AI Market Outlook - TradingAI,TradingAI,https://tradingai.in/indices/finnifty.html,200,yes,yes,15,0,none,Trading Terminal,FINNIFTY 50 - AI Market Outlook - TradingAI,,KEEP,Core trading terminal page
indices/nifty.html,/indices/nifty.html,NIFTY 50 - AI Market Outlook - TradingAI,TradingAI,https://tradingai.in/indices/nifty.html,200,yes,yes,15,0,none,Trading Terminal,NIFTY 50 - AI Market Outlook - TradingAI,,KEEP,Core trading terminal page
indices/sensex.html,/indices/sensex.html,SENSEX 50 - AI Market Outlook - TradingAI,TradingAI,https://tradingai.in/indices/sensex.html,200,yes,yes,15,0,none,Trading Terminal,SENSEX 50 - AI Market Outlook - TradingAI,,KEEP,Core trading terminal page
learn/cpr.html,/learn/cpr.html,CPR Strategy: Pivot Range Trading - TradingAI,TradingAI,https://tradingai.in/learn/cpr.html,200,yes,yes,8,0,none,Trading Terminal,CPR Strategy: Pivot Range Trading - TradingAI,,KEEP,Review needed
learn/index.html,/learn/index.html,Learn Options Trading - TradingAI,TradingAI,https://tradingai.in/learn/,200,no,yes,8,0,none,Trading Terminal,Learn Options Trading - TradingAI,,KEEP,Core trading terminal page
